customerID,gender,SeniorCitizen,Partner,Dependents,tenure,Contract,InternetService,PaymentMethod,MonthlyCharges,TotalCharges,Churn,Churn_Probability,Churn_Predicted,Risk_Tier,Revenue_At_Risk,Retention_Action
4190-MFLUW,Female,0,Yes,Yes,10,Month-to-month,DSL,Credit card (automatic),55.2,528.35,Yes,0.3597,No,Medium,238.27,Loyalty email — highlight service value
4183-MYFRB,Female,0,No,No,21,Month-to-month,Fiber optic,Electronic check,90.05,1862.9,No,0.7595,Yes,Critical,820.72,Immediate call — offer 2-year contract discount
8779-QRDMV,Male,1,No,No,1,Month-to-month,DSL,Electronic check,39.65,39.65,Yes,0.8536,Yes,Critical,406.14,Immediate call — offer 2-year contract discount
1680-VDCWW,Male,0,Yes,No,12,One year,No,Bank transfer (automatic),19.8,202.25,No,0.1426,No,Low,33.88,Standard engagement — quarterly check-in
1066-JKSGK,Male,0,No,No,1,Month-to-month,No,Mailed check,20.15,20.15,Yes,0.4112,No,Medium,99.43,Loyalty email — highlight service value
3638-WEABW,Female,0,Yes,No,58,Two year,DSL,Credit card (automatic),59.9,3505.1,No,0.0501,No,Low,36.01,Standard engagement — quarterly check-in
6322-HRPFA,Male,0,Yes,Yes,49,Month-to-month,DSL,Credit card (automatic),59.6,2970.3,No,0.0819,No,Low,58.57,Standard engagement — quarterly check-in
6865-JZNKO,Female,0,No,No,30,Month-to-month,DSL,Bank transfer (automatic),55.3,1530.6,No,0.2755,No,Medium,182.82,Loyalty email — highlight service value
6467-CHFZW,Male,0,Yes,Yes,47,Month-to-month,Fiber optic,Electronic check,99.35,4749.15,Yes,0.7097,Yes,Critical,846.1,Immediate call — offer 2-year contract discount
8665-UTDHZ,Male,0,Yes,Yes,1,Month-to-month,DSL,Electronic check,30.2,30.2,Yes,0.6569,Yes,High,238.06,Send retention offer — add TechSupport bundle
5248-YGIJN,Male,0,Yes,No,72,Two year,DSL,Credit card (automatic),90.25,6369.45,No,0.0484,No,Low,52.42,Standard engagement — quarterly check-in
8773-HHUOZ,Female,0,No,Yes,17,Month-to-month,DSL,Mailed check,64.7,1093.1,Yes,0.6582,Yes,High,511.03,Send retention offer — add TechSupport bundle
3841-NFECX,Female,1,Yes,No,71,Two year,Fiber optic,Credit card (automatic),96.35,6766.95,No,0.0846,No,Low,97.81,Standard engagement — quarterly check-in
4929-XIHVW,Male,1,Yes,No,2,Month-to-month,Fiber optic,Credit card (automatic),95.5,181.65,No,0.9065,Yes,Critical,1038.85,Immediate call — offer 2-year contract discount
6827-IEAUQ,Female,0,Yes,Yes,27,One year,DSL,Mailed check,66.15,1874.45,No,0.0929,No,Low,73.74,Standard engagement — quarterly check-in
7310-EGVHZ,Male,0,No,No,1,Month-to-month,No,Bank transfer (automatic),20.2,20.2,No,0.3539,No,Medium,85.79,Loyalty email — highlight service value
3413-BMNZE,Male,1,No,No,1,Month-to-month,DSL,Bank transfer (automatic),45.25,45.25,No,0.6233,Yes,High,338.45,Send retention offer — add TechSupport bundle
6234-RAAPL,Female,0,Yes,Yes,72,Two year,Fiber optic,Bank transfer (automatic),99.9,7251.7,No,0.0509,No,Low,61.02,Standard engagement — quarterly check-in
6047-YHPVI,Male,0,No,No,5,Month-to-month,Fiber optic,Electronic check,69.7,316.9,Yes,0.8252,Yes,Critical,690.2,Immediate call — offer 2-year contract discount
6572-ADKRS,Female,0,No,No,46,Month-to-month,Fiber optic,Credit card (automatic),74.8,3548.3,No,0.5399,Yes,High,484.61,Send retention offer — add TechSupport bundle
5380-WJKOV,Male,0,No,No,34,Month-to-month,Fiber optic,Electronic check,106.35,3549.25,Yes,0.8111,Yes,Critical,1035.13,Immediate call — offer 2-year contract discount
8168-UQWWF,Female,0,No,No,11,Month-to-month,Fiber optic,Bank transfer (automatic),97.85,1105.4,Yes,0.8722,Yes,Critical,1024.14,Immediate call — offer 2-year contract discount
8865-TNMNX,Male,0,Yes,Yes,10,One year,DSL,Mailed check,49.55,475.7,No,0.2892,No,Medium,171.96,Loyalty email — highlight service value
9489-DEDVP,Female,0,Yes,Yes,70,Two year,DSL,Credit card (automatic),69.2,4872.35,No,0.0357,No,Low,29.65,Standard engagement — quarterly check-in
9867-JCZSP,Female,0,Yes,Yes,17,One year,No,Mailed check,20.75,418.25,No,0.1208,No,Low,30.08,Standard engagement — quarterly check-in
4671-VJLCL,Female,0,No,No,63,Two year,DSL,Credit card (automatic),79.85,4861.45,No,0.0392,No,Low,37.56,Standard engagement — quarterly check-in
4080-IIARD,Female,0,Yes,No,13,Month-to-month,DSL,Electronic check,76.2,981.45,No,0.5096,Yes,High,465.98,Send retention offer — add TechSupport bundle
3714-NTNFO,Female,0,No,No,49,Month-to-month,Fiber optic,Electronic check,84.5,3906.7,No,0.6782,Yes,High,687.69,Send retention offer — add TechSupport bundle
5948-UJZLF,Male,0,No,No,2,Month-to-month,DSL,Mailed check,49.25,97.0,No,0.5869,Yes,High,346.86,Send retention offer — add TechSupport bundle
7760-OYPDY,Female,0,No,No,2,Month-to-month,Fiber optic,Electronic check,80.65,144.15,Yes,0.8701,Yes,Critical,842.08,Immediate call — offer 2-year contract discount
7639-LIAYI,Male,0,No,No,52,Two year,DSL,Credit card (automatic),79.75,4217.8,No,0.09,No,Low,86.13,Standard engagement — quarterly check-in
2954-PIBKO,Female,0,Yes,Yes,69,Two year,DSL,Credit card (automatic),64.15,4254.1,No,0.02,No,Low,15.4,Standard engagement — quarterly check-in
8012-SOUDQ,Female,1,No,No,43,Month-to-month,Fiber optic,Electronic check,90.25,3838.75,No,0.7326,Yes,Critical,793.41,Immediate call — offer 2-year contract discount
9420-LOJKX,Female,0,No,No,15,Month-to-month,Fiber optic,Credit card (automatic),99.1,1426.4,Yes,0.7481,Yes,Critical,889.64,Immediate call — offer 2-year contract discount
6575-SUVOI,Female,1,Yes,No,25,Month-to-month,DSL,Credit card (automatic),69.5,1752.65,No,0.465,No,Medium,387.81,Loyalty email — highlight service value
7495-OOKFY,Female,1,Yes,No,8,Month-to-month,Fiber optic,Credit card (automatic),80.65,633.3,Yes,0.8438,Yes,Critical,816.63,Immediate call — offer 2-year contract discount
4667-QONEA,Female,1,Yes,Yes,60,One year,DSL,Credit card (automatic),74.85,4456.35,No,0.0649,No,Low,58.29,Standard engagement — quarterly check-in
1658-BYGOY,Male,1,No,No,18,Month-to-month,Fiber optic,Electronic check,95.45,1752.55,Yes,0.9007,Yes,Critical,1031.66,Immediate call — offer 2-year contract discount
8769-KKTPH,Female,0,Yes,Yes,63,One year,Fiber optic,Credit card (automatic),99.65,6311.2,No,0.3372,No,Medium,403.22,Loyalty email — highlight service value
5067-XJQFU,Male,1,Yes,Yes,66,One year,Fiber optic,Electronic check,108.45,7076.35,No,0.3599,No,Medium,468.37,Loyalty email — highlight service value
3957-SQXML,Female,0,Yes,Yes,34,Two year,No,Credit card (automatic),24.95,894.3,No,0.0342,No,Low,10.24,Standard engagement — quarterly check-in
5954-BDFSG,Female,0,No,No,72,Two year,Fiber optic,Credit card (automatic),107.5,7853.7,No,0.2207,No,Low,284.7,Standard engagement — quarterly check-in
0434-CSFON,Female,0,Yes,No,47,Month-to-month,Fiber optic,Electronic check,100.5,4707.1,No,0.7767,Yes,Critical,936.7,Immediate call — offer 2-year contract discount
1215-FIGMP,Male,0,No,No,60,Month-to-month,Fiber optic,Bank transfer (automatic),89.9,5450.7,No,0.5589,Yes,High,602.94,Send retention offer — add TechSupport bundle
0526-SXDJP,Male,0,Yes,No,72,Two year,DSL,Bank transfer (automatic),42.1,2962.0,No,0.0203,No,Low,10.26,Standard engagement — quarterly check-in
0557-ASKVU,Female,0,Yes,Yes,18,One year,DSL,Credit card (automatic),54.4,957.1,No,0.2193,No,Low,143.16,Standard engagement — quarterly check-in
5698-BQJOH,Female,0,No,No,9,Month-to-month,Fiber optic,Electronic check,94.4,857.25,Yes,0.8645,Yes,Critical,979.31,Immediate call — offer 2-year contract discount
5122-CYFXA,Female,0,No,No,3,Month-to-month,DSL,Electronic check,75.3,244.1,No,0.6785,Yes,High,613.09,Send retention offer — add TechSupport bundle
8627-ZYGSZ,Male,0,Yes,No,47,One year,Fiber optic,Electronic check,78.9,3650.35,No,0.4116,No,Medium,389.7,Loyalty email — highlight service value
3410-YOQBQ,Female,0,No,No,31,Two year,DSL,Mailed check,79.2,2497.2,No,0.1224,No,Low,116.33,Standard engagement — quarterly check-in
3170-NMYVV,Female,0,Yes,Yes,50,Two year,No,Bank transfer (automatic),20.15,930.9,No,0.0123,No,Low,2.97,Standard engagement — quarterly check-in
7410-OIEDU,Male,0,No,No,10,Month-to-month,Fiber optic,Mailed check,79.85,887.35,No,0.7343,Yes,Critical,703.61,Immediate call — offer 2-year contract discount
2273-QCKXA,Male,0,No,No,1,Month-to-month,DSL,Mailed check,49.05,49.05,No,0.5405,Yes,High,318.14,Send retention offer — add TechSupport bundle
0731-EBJQB,Female,0,Yes,Yes,52,One year,No,Electronic check,20.4,1090.65,No,0.0411,No,Low,10.06,Standard engagement — quarterly check-in
1891-QRQSA,Male,1,Yes,Yes,64,Two year,Fiber optic,Bank transfer (automatic),111.6,7099.0,No,0.1666,No,Low,223.11,Standard engagement — quarterly check-in
8028-PNXHQ,Male,0,Yes,Yes,62,Two year,No,Bank transfer (automatic),24.25,1424.6,No,0.0148,No,Low,4.31,Standard engagement — quarterly check-in
5630-AHZIL,Female,0,No,Yes,3,Month-to-month,DSL,Bank transfer (automatic),64.5,177.4,No,0.4428,No,Medium,342.73,Loyalty email — highlight service value
2673-CXQEU,Female,1,No,No,56,One year,Fiber optic,Electronic check,110.5,6139.5,No,0.3776,No,Medium,500.7,Loyalty email — highlight service value
6416-JNVRK,Female,0,No,No,46,One year,DSL,Credit card (automatic),55.65,2688.85,No,0.1656,No,Low,110.59,Standard engagement — quarterly check-in
5590-ZSKRV,Female,0,Yes,Yes,8,Month-to-month,DSL,Mailed check,54.65,482.25,No,0.3718,No,Medium,243.83,Loyalty email — highlight service value
0191-ZHSKZ,Male,1,No,No,30,Month-to-month,DSL,Electronic check,74.75,2111.3,No,0.5023,Yes,High,450.56,Send retention offer — add TechSupport bundle
3887-PBQAO,Female,0,Yes,Yes,45,One year,No,Credit card (automatic),25.9,1216.6,No,0.0676,No,Low,21.01,Standard engagement — quarterly check-in
5919-TMRGD,Female,0,No,Yes,1,Month-to-month,Fiber optic,Electronic check,79.35,79.35,Yes,0.8398,Yes,Critical,799.66,Immediate call — offer 2-year contract discount
8108-UXRQN,Female,0,Yes,Yes,11,Month-to-month,DSL,Electronic check,50.55,565.35,No,0.6272,Yes,High,380.46,Send retention offer — add TechSupport bundle
9191-MYQKX,Female,0,Yes,No,7,Month-to-month,Fiber optic,Bank transfer (automatic),75.15,496.9,Yes,0.7857,Yes,Critical,708.54,Immediate call — offer 2-year contract discount
9919-YLNNG,Female,0,No,No,42,Month-to-month,Fiber optic,Bank transfer (automatic),103.8,4327.5,No,0.5849,Yes,High,728.55,Send retention offer — add TechSupport bundle
0318-ZOPWS,Female,0,Yes,No,49,Two year,No,Bank transfer (automatic),20.15,973.35,No,0.0236,No,Low,5.71,Standard engagement — quarterly check-in
4445-ZJNMU,Male,0,No,No,9,Month-to-month,Fiber optic,Credit card (automatic),99.3,918.75,No,0.8814,Yes,Critical,1050.28,Immediate call — offer 2-year contract discount
4808-YNLEU,Female,0,Yes,No,35,One year,DSL,Bank transfer (automatic),62.15,2215.45,No,0.2109,No,Low,157.29,Standard engagement — quarterly check-in
1862-QRWPE,Female,0,Yes,Yes,48,Two year,No,Bank transfer (automatic),20.65,1057.0,No,0.0139,No,Low,3.44,Standard engagement — quarterly check-in
2796-NNUFI,Female,0,Yes,Yes,46,Two year,No,Mailed check,19.95,927.1,No,0.0265,No,Low,6.34,Standard engagement — quarterly check-in
3016-KSVCP,Male,0,Yes,No,29,Month-to-month,DSL,Mailed check,33.75,1009.25,No,0.5728,Yes,High,231.98,Send retention offer — add TechSupport bundle
4767-HZZHQ,Male,0,Yes,Yes,30,Month-to-month,Fiber optic,Bank transfer (automatic),82.05,2570.2,No,0.4883,No,Medium,480.78,Loyalty email — highlight service value
2424-WVHPL,Male,1,No,No,1,Month-to-month,Fiber optic,Electronic check,74.7,74.7,No,0.7506,Yes,Critical,672.84,Immediate call — offer 2-year contract discount
7233-PAHHL,Male,0,Yes,Yes,66,Two year,DSL,Mailed check,84.0,5714.25,No,0.0585,No,Low,58.97,Standard engagement — quarterly check-in
6067-NGCEU,Female,0,No,No,65,Month-to-month,Fiber optic,Credit card (automatic),111.05,7107.0,No,0.5416,Yes,High,721.74,Send retention offer — add TechSupport bundle
9848-JQJTX,Male,0,No,No,72,Two year,Fiber optic,Bank transfer (automatic),100.9,7459.05,No,0.2091,No,Low,253.18,Standard engagement — quarterly check-in
8637-XJIVR,Female,0,No,No,12,Month-to-month,Fiber optic,Electronic check,78.95,927.35,Yes,0.753,Yes,Critical,713.39,Immediate call — offer 2-year contract discount
9803-FTJCG,Male,0,Yes,Yes,71,One year,DSL,Credit card (automatic),66.85,4748.7,No,0.0411,No,Low,32.97,Standard engagement — quarterly check-in
0278-YXOOG,Male,0,No,No,5,Month-to-month,No,Mailed check,21.05,113.85,Yes,0.3779,No,Medium,95.46,Loyalty email — highlight service value
3212-KXOCR,Male,0,No,No,52,Two year,No,Bank transfer (automatic),21.0,1107.2,No,0.015,No,Low,3.78,Standard engagement — quarterly check-in
4598-XLKNJ,Female,1,Yes,No,25,Month-to-month,Fiber optic,Electronic check,98.5,2514.5,Yes,0.8196,Yes,Critical,968.77,Immediate call — offer 2-year contract discount
6380-ARCEH,Male,0,No,No,1,Month-to-month,No,Mailed check,20.2,20.2,No,0.4115,No,Medium,99.75,Loyalty email — highlight service value
3679-XASPY,Female,0,Yes,Yes,1,Month-to-month,No,Electronic check,19.45,19.45,No,0.3327,No,Medium,77.65,Loyalty email — highlight service value
7123-WQUHX,Male,0,No,No,38,One year,Fiber optic,Bank transfer (automatic),95.0,3605.6,No,0.3732,No,Medium,425.45,Loyalty email — highlight service value
5386-THSLQ,Female,1,Yes,No,66,One year,DSL,Bank transfer (automatic),45.55,3027.25,No,0.1164,No,Low,63.62,Standard engagement — quarterly check-in
3192-NQECA,Male,0,Yes,No,68,Two year,Fiber optic,Bank transfer (automatic),110.0,7611.85,Yes,0.202,No,Low,266.64,Standard engagement — quarterly check-in
6180-YBIQI,Male,0,No,No,5,Month-to-month,DSL,Mailed check,24.3,100.2,No,0.7152,Yes,Critical,208.55,Immediate call — offer 2-year contract discount
6728-DKUCO,Female,0,Yes,Yes,72,One year,Fiber optic,Electronic check,104.15,7303.05,No,0.2705,No,Medium,338.07,Loyalty email — highlight service value
9750-BOOHV,Female,0,No,No,32,One year,DSL,Mailed check,30.15,927.65,No,0.2056,No,Low,74.39,Standard engagement — quarterly check-in
8597-CWYHH,Male,0,No,No,43,One year,Fiber optic,Mailed check,94.35,3921.3,No,0.5627,Yes,High,637.09,Send retention offer — add TechSupport bundle
2848-YXSMW,Male,0,Yes,Yes,72,Two year,No,Credit card (automatic),19.4,1363.25,No,0.0055,No,Low,1.28,Standard engagement — quarterly check-in
0486-HECZI,Male,0,Yes,No,55,Month-to-month,Fiber optic,Electronic check,96.75,5238.9,Yes,0.5536,Yes,High,642.73,Send retention offer — add TechSupport bundle
4549-ZDQYY,Female,0,No,No,52,One year,DSL,Credit card (automatic),57.95,3042.25,No,0.0455,No,Low,31.64,Standard engagement — quarterly check-in
5712-AHQNN,Female,0,No,No,43,Month-to-month,Fiber optic,Electronic check,91.65,3954.1,No,0.6416,Yes,High,705.63,Send retention offer — add TechSupport bundle
4846-WHAFZ,Female,1,Yes,No,37,Month-to-month,Fiber optic,Electronic check,76.5,2868.15,Yes,0.7458,Yes,Critical,684.64,Immediate call — offer 2-year contract discount
5256-SKJGO,Female,0,Yes,Yes,64,Two year,DSL,Electronic check,54.6,3423.5,No,0.0689,No,Low,45.14,Standard engagement — quarterly check-in
3071-VBYPO,Male,0,Yes,Yes,3,Month-to-month,Fiber optic,Electronic check,89.85,248.4,No,0.6667,Yes,High,718.84,Send retention offer — add TechSupport bundle
9560-BBZXK,Female,0,No,No,36,Two year,DSL,Bank transfer (automatic),31.05,1126.35,No,0.0776,No,Low,28.91,Standard engagement — quarterly check-in
5299-RULOA,Female,0,Yes,Yes,10,Month-to-month,Fiber optic,Electronic check,100.25,1064.65,Yes,0.8282,Yes,Critical,996.32,Immediate call — offer 2-year contract discount
8402-OOOHJ,Female,0,No,No,41,Two year,No,Mailed check,20.65,835.15,No,0.0283,No,Low,7.01,Standard engagement — quarterly check-in
9445-ZUEQE,Male,0,Yes,Yes,27,Month-to-month,Fiber optic,Credit card (automatic),85.2,2151.6,No,0.5829,Yes,High,595.96,Send retention offer — add TechSupport bundle
1091-SOZGA,Female,0,Yes,Yes,56,One year,Fiber optic,Credit card (automatic),99.8,5515.45,No,0.4725,No,Medium,565.87,Loyalty email — highlight service value
2928-HLDBA,Female,0,No,No,6,Month-to-month,No,Mailed check,20.7,112.75,No,0.3588,No,Medium,89.13,Loyalty email — highlight service value
0404-SWRVG,Male,0,No,No,3,Month-to-month,Fiber optic,Electronic check,74.4,229.55,Yes,0.8673,Yes,Critical,774.33,Immediate call — offer 2-year contract discount
6497-TILVL,Female,0,Yes,Yes,7,Month-to-month,DSL,Mailed check,50.7,350.35,No,0.4231,No,Medium,257.41,Loyalty email — highlight service value
7219-TLZHO,Female,0,Yes,Yes,4,Month-to-month,No,Mailed check,20.85,62.9,No,0.3304,No,Medium,82.67,Loyalty email — highlight service value
4622-YNKIJ,Male,0,No,No,33,Two year,Fiber optic,Electronic check,88.95,3027.65,No,0.2111,No,Low,225.33,Standard engagement — quarterly check-in
4412-YLTKF,Female,1,No,No,27,Month-to-month,Fiber optic,Electronic check,78.05,2135.5,Yes,0.7709,Yes,Critical,722.02,Immediate call — offer 2-year contract discount
6734-PSBAW,Male,0,Yes,No,72,Two year,No,Bank transfer (automatic),23.55,1723.95,No,0.0126,No,Low,3.56,Standard engagement — quarterly check-in
3930-ZGWVE,Male,0,No,No,1,Month-to-month,No,Mailed check,19.75,19.75,No,0.4088,No,Medium,96.89,Loyalty email — highlight service value
2639-UGMAZ,Male,1,No,No,71,One year,DSL,Electronic check,56.45,3985.35,No,0.1597,No,Low,108.18,Standard engagement — quarterly check-in
2876-GZYZC,Female,0,No,No,13,Month-to-month,Fiber optic,Electronic check,85.95,1215.65,No,0.8687,Yes,Critical,895.98,Immediate call — offer 2-year contract discount
6207-WIOLX,Female,0,Yes,Yes,25,Month-to-month,DSL,Credit card (automatic),58.6,1502.65,Yes,0.5208,Yes,High,366.23,Send retention offer — add TechSupport bundle
8587-XYZSF,Male,0,No,No,67,Two year,DSL,Bank transfer (automatic),50.55,3260.1,No,0.0195,No,Low,11.83,Standard engagement — quarterly check-in
3091-FYHKI,Male,0,No,No,1,Month-to-month,DSL,Electronic check,35.45,35.45,Yes,0.841,Yes,Critical,357.76,Immediate call — offer 2-year contract discount
2372-HWUHI,Male,0,No,No,2,Month-to-month,DSL,Electronic check,44.35,81.25,Yes,0.6076,Yes,High,323.36,Send retention offer — add TechSupport bundle
7799-LGRDP,Female,0,No,No,43,Two year,No,Credit card (automatic),25.7,1188.2,No,0.0433,No,Low,13.35,Standard engagement — quarterly check-in
7850-VWJUU,Female,0,No,No,23,Month-to-month,Fiber optic,Bank transfer (automatic),75.0,1778.5,No,0.5951,Yes,High,535.59,Send retention offer — add TechSupport bundle
3774-VBNXY,Female,0,Yes,Yes,64,Two year,No,Mailed check,20.2,1277.75,No,0.009,No,Low,2.18,Standard engagement — quarterly check-in
6217-KDYWC,Male,0,No,Yes,57,Two year,No,Mailed check,19.6,1170.55,No,0.0169,No,Low,3.97,Standard engagement — quarterly check-in
0390-DCFDQ,Female,1,Yes,No,1,Month-to-month,Fiber optic,Mailed check,70.45,70.45,Yes,0.8767,Yes,Critical,741.16,Immediate call — offer 2-year contract discount
3146-MSEGF,Female,1,Yes,Yes,72,Two year,DSL,Credit card (automatic),88.05,6425.65,No,0.042,No,Low,44.38,Standard engagement — quarterly check-in
4080-OGPJL,Female,0,No,No,8,Month-to-month,DSL,Electronic check,71.15,563.65,Yes,0.4906,No,Medium,418.87,Loyalty email — highlight service value
1095-WGNGG,Female,0,Yes,No,61,Two year,Fiber optic,Bank transfer (automatic),101.05,5971.25,No,0.2831,No,Medium,343.29,Loyalty email — highlight service value
2636-SJDOU,Male,0,No,No,64,One year,Fiber optic,Credit card (automatic),84.3,5289.05,No,0.2026,No,Low,204.95,Standard engagement — quarterly check-in
1131-QQZEB,Male,1,Yes,No,71,Two year,No,Bank transfer (automatic),23.95,1756.2,No,0.011,No,Low,3.16,Standard engagement — quarterly check-in
5716-EZXZN,Female,0,Yes,Yes,65,Two year,Fiber optic,Credit card (automatic),99.05,6416.7,No,0.0876,No,Low,104.12,Standard engagement — quarterly check-in
6837-BJYDQ,Male,0,No,No,3,One year,No,Mailed check,19.6,61.35,No,0.2289,No,Low,53.84,Standard engagement — quarterly check-in
2135-RXIHG,Male,0,No,No,1,Month-to-month,DSL,Electronic check,45.65,45.65,Yes,0.7052,Yes,Critical,386.31,Immediate call — offer 2-year contract discount
6440-DKQGE,Male,0,No,Yes,30,One year,DSL,Credit card (automatic),64.5,1929.95,No,0.1792,No,Low,138.7,Standard engagement — quarterly check-in
3466-BYAVD,Male,0,Yes,Yes,15,Month-to-month,DSL,Mailed check,69.5,1071.4,No,0.4846,No,Medium,404.16,Loyalty email — highlight service value
3780-YVMFA,Female,0,Yes,Yes,8,Month-to-month,DSL,Electronic check,68.55,564.35,No,0.6221,Yes,High,511.74,Send retention offer — add TechSupport bundle
3874-EQOEP,Male,0,No,No,7,Month-to-month,Fiber optic,Mailed check,95.0,655.5,Yes,0.8839,Yes,Critical,1007.65,Immediate call — offer 2-year contract discount
1679-JRFBR,Female,0,Yes,Yes,70,One year,Fiber optic,Credit card (automatic),108.15,7930.55,No,0.28,No,Medium,363.38,Loyalty email — highlight service value
9073-ZZIAY,Male,0,Yes,Yes,62,Two year,DSL,Electronic check,86.1,5215.25,No,0.0289,No,Low,29.86,Standard engagement — quarterly check-in
3077-RSNTJ,Female,0,Yes,Yes,6,Month-to-month,No,Mailed check,19.7,113.5,No,0.3069,No,Medium,72.55,Loyalty email — highlight service value
6551-GNYDG,Female,0,Yes,Yes,14,Month-to-month,Fiber optic,Bank transfer (automatic),80.9,1152.8,No,0.7685,Yes,Critical,746.06,Immediate call — offer 2-year contract discount
9167-APMXZ,Female,0,No,No,22,Month-to-month,Fiber optic,Bank transfer (automatic),84.15,1821.95,No,0.7991,Yes,Critical,806.93,Immediate call — offer 2-year contract discount
2749-CTKAJ,Male,0,Yes,Yes,22,One year,No,Mailed check,20.15,419.9,No,0.1003,No,Low,24.25,Standard engagement — quarterly check-in
6371-NZYEG,Male,0,Yes,Yes,16,Two year,DSL,Mailed check,64.25,1024.0,No,0.1286,No,Low,99.15,Standard engagement — quarterly check-in
7554-NEWDD,Male,0,No,No,10,Two year,No,Bank transfer (automatic),25.7,251.6,No,0.0988,No,Low,30.47,Standard engagement — quarterly check-in
8992-VONJD,Female,0,No,Yes,13,Month-to-month,DSL,Electronic check,56.0,764.55,No,0.3976,No,Medium,267.19,Loyalty email — highlight service value
0867-MKZVY,Female,0,Yes,No,20,Month-to-month,Fiber optic,Electronic check,82.4,1592.35,Yes,0.6541,Yes,High,646.77,Send retention offer — add TechSupport bundle
4482-EWFMI,Female,0,No,No,2,Month-to-month,Fiber optic,Electronic check,69.7,135.2,No,0.8353,Yes,Critical,698.64,Immediate call — offer 2-year contract discount
4648-YPBTM,Male,0,No,No,53,Two year,DSL,Bank transfer (automatic),73.9,3958.25,No,0.0735,No,Low,65.18,Standard engagement — quarterly check-in
2907-ILJBN,Female,0,Yes,Yes,11,One year,No,Mailed check,20.6,233.9,No,0.1475,No,Low,36.46,Standard engagement — quarterly check-in
6345-FZOQH,Male,0,Yes,No,69,Two year,No,Mailed check,19.9,1363.45,No,0.0095,No,Low,2.27,Standard engagement — quarterly check-in
3376-BMGFE,Female,0,No,No,4,Month-to-month,Fiber optic,Bank transfer (automatic),70.9,273.0,Yes,0.8063,Yes,Critical,686.0,Immediate call — offer 2-year contract discount
5997-OPVFA,Male,0,Yes,No,72,Two year,DSL,Bank transfer (automatic),89.05,6254.45,No,0.0427,No,Low,45.63,Standard engagement — quarterly check-in
3445-HXXGF,Male,1,Yes,No,58,Month-to-month,DSL,Electronic check,45.3,2651.2,Yes,0.3975,No,Medium,216.08,Loyalty email — highlight service value
